 #FEATURIZER_NAME=TextNGramFeaturizer
 #FEATURIZER_VERSION=1.0.0
 #CHAR_NGRAM_N=3
 #CHAR_SKIPGRAM_N=0
 #WORD_NGRAM_N=0
 #MAX_FEATURES=-1
 #USE_DISTINCT_FEATURES_PER_SAMPLE=False
 #SELECTION_THRESHOLD=0.5
 #DATA_DATETIME=2018-04-20 22:24:32Z
 #DATA_SIZE=14890
 #FEATURES_COUNT=420
 #DENSE_FEATURES=WhiteSpaceCount,SampleLength

 FeatureName	FeatureId
WhiteSpaceCount	0
SampleLength	1
s	2
e	3
n	4
d	5
S	6
m	7
a	8
t	9
x	10
g	11
o	12
i	13
u	14
c	15
h	16
w	17
se	18
Se	19
en	20
nd	21
dS	22
Sm	23
me	24
eS	25
Sa	26
aS	27
St	28
te	29
ex	30
xt	31
tS	32
es	33
ss	34
sa	35
ag	36
ge	37
to	38
oS	39
Sg	40
et	41
Si	42
in	43
nS	44
ou	45
uc	46
ch	47
hS	48
Sw	49
wi	50
it	51
th	52
mS	53
sen	54
Sen	55
end	56
ndS	57
dSm	58
Sme	59
meS	60
eSa	61
SaS	62
aSt	63
Ste	64
tex	65
ext	66
xtS	67
tSm	68
mes	69
ess	70
ssa	71
sag	72
age	73
geS	74
eSt	75
Sto	76
toS	77
oSg	78
Sge	79
get	80
etS	81
tSi	82
Sin	83
inS	84
nSt	85
tou	86
ouc	87
uch	88
chS	89
hSw	90
Swi	91
wit	92
ith	93
thS	94
hSm	95
SmS	96
p	97
r	98
f	99
v	100
l	101
iS	102
SS	103
Sp	104
pr	105
re	106
ef	107
fe	108
er	109
rS	110
Sr	111
ec	112
ce	113
ei	114
iv	115
ve	116
ph	117
ho	118
on	119
ne	120
Sc	121
ca	122
al	123
ll	124
lS	125
iSp	126
SSp	127
Spr	128
pre	129
ref	130
efe	131
fer	132
erS	133
rSt	134
oSr	135
Sre	136
rec	137
ece	138
cei	139
eiv	140
ive	141
veS	142
eSp	143
Sph	144
pho	145
hon	146
one	147
neS	148
eSc	149
Sca	150
cal	151
all	152
alS	153
Su	154
up	155
pd	156
da	157
at	158
tSt	159
tSu	160
Sup	161
upd	162
pda	163
dat	164
ate	165
tes	166
teS	167
y	168
my	169
yS	170
co	171
om	172
mm	173
mu	174
un	175
ni	176
ic	177
ti	178
io	179
nc	180
set	181
Set	182
Smy	183
myS	184
ySc	185
Sco	186
com	187
omm	188
mmu	189
mun	190
uni	191
nic	192
ica	193
cat	194
ati	195
tio	196
ion	197
onS	198
nSp	199
ere	200
ren	201
enc	202
nce	203
ceS	204
oSp	205
b	206
he	207
el	208
lo	209
Sb	210
bo	211
ot	212
hel	213
Sel	214
ell	215
llo	216
loS	217
oSb	218
Sbo	219
bot	220
boS	221
hi	222
hiS	223
SiS	224
iSb	225
iy	226
ya	227
hiy	228
Siy	229
iya	230
iyS	231
llS	232
wh	233
Sh	234
ar	235
Sy	236
yo	237
who	238
Sho	239
hoS	240
oSa	241
Sar	242
are	243
reS	244
eSy	245
Syo	246
you	247
yoS	248
ha	249
is	250
sS	251
ur	252
Sn	253
na	254
am	255
wha	256
Sha	257
hat	258
atS	259
Sis	260
isS	261
sSy	262
our	263
urS	264
rSn	265
Sna	266
nam	267
ame	268
amS	269
Ss	270
tSs	271
SsS	272
So	273
ow	274
wS	275
sh	276
ul	277
ld	278
ad	279
dd	280
dr	281
how	282
Sow	283
owS	284
wSs	285
Ssh	286
sho	287
hou	288
oul	289
uld	290
ldS	291
dSi	292
iSa	293
Sad	294
add	295
ddr	296
dre	297
res	298
ssS	299
uS	300
ir	301
ri	302
ng	303
ouS	304
uSh	305
Shi	306
hir	307
iri	308
rin	309
ing	310
k	311
Sl	312
oo	313
ok	314
ki	315
gS	316
Sf	317
fo	318
or	319
ba	320
rr	321
st	322
ta	323
uSl	324
Slo	325
loo	326
ook	327
oki	328
kin	329
ngS	330
gSf	331
Sfo	332
for	333
orS	334
rSa	335
aSb	336
Sba	337
bar	338
arr	339
rri	340
ris	341
ist	342
sta	343
stS	344
eo	345
oSi	346
rSc	347
Sce	348
ceo	349
wn	350
ns	351
nt	352
os	353
so	354
af	355
fS	356
oSo	357
own	358
wns	359
nsS	360
sSc	361
con	362
ont	363
nto	364
tos	365
oso	366
soS	367
oSc	368
caf	369
afe	370
afS	371
an	372
wo	373
rk	374
kS	375
can	376
San	377
anS	378
nSi	379
iSc	380
ome	381
eSw	382
Swo	383
wor	384
ork	385
rkS	386
kSf	387
j	388
do	389
av	390
Sj	391
jo	392
ob	393
bS	394
op	395
pe	396
gs	397
doS	398
SoS	399
oSy	400
hav	401
ave	402
eSj	403
Sjo	404
job	405
obS	406
bSo	407
Sop	408
ope	409
pen	410
eni	411
nin	412
ngs	413
oc	414
tSa	415
rSl	416
loc	417
oca	418
ons	419
