Label	Weight	Text
l_cafebotluisapp420257_communication preference	1	send me a text message to get in touch with me
l_cafebotluisapp420257_communication preference	1	i prefer to receive phone call
l_cafebotluisapp420257_communication preference	1	i prefer to get text updates
l_cafebotluisapp420257_communication preference	1	send me a text message to get in touch with me
l_cafebotluisapp420257_communication preference	1	i prefer to receive phone call
l_cafebotluisapp420257_communication preference	1	i prefer to get text updates
l_cafebotluisapp420257_communication preference	1	send me a text message to get in touch with me
l_cafebotluisapp420257_communication preference	1	i prefer to receive phone call
l_cafebotluisapp420257_communication preference	1	i prefer to get text updates
l_cafebotluisapp420257_communication preference	1	send me a text message to get in touch with me
l_cafebotluisapp420257_communication preference	1	i prefer to receive phone call
l_cafebotluisapp420257_communication preference	1	i prefer to get text updates
l_cafebotluisapp420257_greeting	1.2	hello bot
l_cafebotluisapp420257_greeting	1.2	hi
l_cafebotluisapp420257_greeting	1.2	hi bot
l_cafebotluisapp420257_greeting	1.2	hello
l_cafebotluisapp420257_greeting	1.2	hello bot
l_cafebotluisapp420257_greeting	1.2	hi
l_cafebotluisapp420257_greeting	1.2	hi bot
l_cafebotluisapp420257_greeting	1.2	hello bot
l_cafebotluisapp420257_greeting	1.2	hi
l_cafebotluisapp420257_greeting	1.2	hi bot
l_cafebotluisapp420257_who are you intent	1	who are you?
l_cafebotluisapp420257_who are you intent	1	what is your name?
l_cafebotluisapp420257_who are you intent	1	what's your name?
l_cafebotluisapp420257_who are you intent	1	who are you?
l_cafebotluisapp420257_who are you intent	1	what is your name?
l_cafebotluisapp420257_who are you intent	1	what's your name?
l_cafebotluisapp420257_who are you intent	1	who are you?
l_cafebotluisapp420257_who are you intent	1	what is your name?
l_cafebotluisapp420257_who are you intent	1	what's your name?
l_cafebotluisapp420257_who are you intent	1	who are you?
l_cafebotluisapp420257_who are you intent	1	what is your name?
l_cafebotluisapp420257_who are you intent	1	what's your name?
q_cafebot	1	are you hiring
q_cafebot	1	are you looking for a barrista
q_cafebot	1	who is your ceo
q_cafebot	1	can i come work for contoso cafe?
q_cafebot	1	do you have job openings?
q_cafebot	1	what are your locations
q_cafebot	1	are you hiring
q_cafebot	1	are you looking for a barrista
q_cafebot	1	who is your ceo
q_cafebot	1	are you hiring
q_cafebot	1	are you looking for a barrista
q_cafebot	1	who is your ceo
